datetime,symbol,open,high,low,close,volume
2026-02-18 07:00:00,CBOT:YM1!,49656.0,49668.0,49644.0,49649.0,102.0
2026-02-18 07:15:00,CBOT:YM1!,49654.0,49668.0,49648.0,49668.0,121.0
2026-02-18 07:30:00,CBOT:YM1!,49668.0,49692.0,49664.0,49691.0,180.0
2026-02-18 07:45:00,CBOT:YM1!,49691.0,49691.0,49675.0,49679.0,105.0
2026-02-18 08:00:00,CBOT:YM1!,49680.0,49733.0,49678.0,49709.0,500.0
2026-02-18 08:15:00,CBOT:YM1!,49717.0,49768.0,49717.0,49743.0,653.0
2026-02-18 08:30:00,CBOT:YM1!,49741.0,49806.0,49741.0,49792.0,564.0
2026-02-18 08:45:00,CBOT:YM1!,49794.0,49818.0,49777.0,49812.0,354.0
2026-02-18 08:45:00,CBOT:YM1!,49794.0,49818.0,49777.0,49812.0,378.0
2026-02-18 09:00:00,CBOT:YM1!,49812.0,49843.0,49802.0,49838.0,867.0
2026-02-18 09:15:00,CBOT:YM1!,49836.0,49849.0,49817.0,49839.0,440.0
2026-02-18 09:30:00,CBOT:YM1!,49839.0,49873.0,49835.0,49867.0,530.0
2026-02-18 09:45:00,CBOT:YM1!,49866.0,49871.0,49825.0,49827.0,606.0
2026-02-18 10:00:00,CBOT:YM1!,49824.0,49863.0,49824.0,49857.0,358.0
2026-02-18 10:15:00,CBOT:YM1!,49859.0,49874.0,49851.0,49868.0,186.0
2026-02-18 10:30:00,CBOT:YM1!,49868.0,49871.0,49847.0,49855.0,295.0
2026-02-18 10:45:00,CBOT:YM1!,49859.0,49860.0,49844.0,49844.0,93.0
2026-02-18 10:45:00,CBOT:YM1!,49859.0,49863.0,49841.0,49862.0,283.0
2026-02-18 11:00:00,CBOT:YM1!,49862.0,49865.0,49822.0,49828.0,299.0
2026-02-18 11:15:00,CBOT:YM1!,49829.0,49847.0,49819.0,49820.0,278.0
2026-02-18 11:30:00,CBOT:YM1!,49820.0,49823.0,49784.0,49789.0,511.0
2026-02-18 11:45:00,CBOT:YM1!,49790.0,49796.0,49773.0,49783.0,287.0
2026-02-18 12:00:00,CBOT:YM1!,49785.0,49805.0,49760.0,49797.0,1442.0
2026-02-18 12:15:00,CBOT:YM1!,49792.0,49799.0,49721.0,49724.0,778.0
2026-02-18 12:30:00,CBOT:YM1!,49722.0,49724.0,49638.0,49693.0,1170.0
2026-02-18 12:45:00,CBOT:YM1!,49692.0,49709.0,49666.0,49705.0,597.0
2026-02-18 13:00:00,CBOT:YM1!,49708.0,49735.0,49692.0,49720.0,474.0
2026-02-18 13:15:00,CBOT:YM1!,49719.0,49750.0,49706.0,49745.0,542.0
2026-02-18 13:30:00,CBOT:YM1!,49749.0,49768.0,49680.0,49691.0,831.0
2026-02-18 13:45:00,CBOT:YM1!,49692.0,49692.0,49623.0,49640.0,1130.0
2026-02-18 14:00:00,CBOT:YM1!,49641.0,49679.0,49631.0,49672.0,1123.0
2026-02-18 14:15:00,CBOT:YM1!,49671.0,49718.0,49662.0,49712.0,1429.0
2026-02-18 14:30:00,CBOT:YM1!,49712.0,49872.0,49489.0,49833.0,13333.0
2026-02-18 14:45:00,CBOT:YM1!,49835.0,49855.0,49673.0,49818.0,5431.0
